,div_str_f,env_str_f,pro_str_x,cgov_con_j,com_con_num,pro_con_x,env_str_x,pro_con_num,mil_con_c,emp_str_b,hum_str_d,pro_con_e,hum_str_a,div_con_num,cgov_con_l,env_con_c,cgov_str_e,cgov_str_num,nuc_con_num,cgov_con_h,div_str_d,nuc_con_d,emp_str_k,pro_str_b,env_con_j,emp_str_n,env_str_i,env_str_b,com_str_b,tob_con_a,env_str_q,emp_str_m,emp_str_i,pro_str_f,cgov_str_d,mil_con_num,gov_str_num,pro_str_k,env_con_k,emp_str_h,mil_con_b,cgov_con_m,gam_con_num,fir_con_a,cgov_str_f,div_str_b,nuc_con_x,hum_str_g,com_str_a,env_con_x,div_con_d,pro_str_i,env_con_a,div_con_b,env_con_g,env_str_a,gam_con_x,env_con_f,hum_con_x,pro_con_f,env_str_h,alc_con_a,cgov_str_h,env_str_p,hum_con_num,emp_str_d,hum_con_f,gam_con_a,pro_con_d,emp_str_x,pro_con_a,hum_con_h,env_str_l,env_con_e,emp_str_g,emp_str_j,emp_str_num,nuc_con_c,env_str_k,emp_con_c,cgov_con_i,com_str_g,pro_str_d,div_str_h,cgov_con_k,cgov_str_g,com_con_d,cgov_con_num,emp_str_f,pro_str_c,div_str_g,com_con_b,hum_con_d,env_str_o,div_str_a,emp_con_b,com_str_num,nuc_con_a,env_con_i,emp_str_c,cgov_con_f,emp_con_h,hum_con_j,env_str_m,hum_con_k,com_str_h,pro_str_h,env_str_d,pro_str_j,emp_con_x,mil_con_a,cgov_str_a,alc_con_num,com_str_x,emp_con_a,pro_str_e,cgov_str_c,emp_con_d,cgov_con_b,env_str_n,env_str_g,mil_con_x,hum_con_c,div_con_x,com_str_c,com_con_x,cgov_str_x,pro_str_num,env_con_b,tob_con_x,hum_con_g,env_str_j,com_con_a,emp_con_g,div_str_num,env_con_d,alc_con_x,env_con_h,emp_con_num,pro_con_g,emp_con_f,div_con_c,hum_con_b,pro_str_g,hum_con_a,hum_str_x,com_str_d,div_con_a,emp_str_a,div_str_e,div_str_x,emp_str_l,env_con_num,com_str_f,hum_str_num,env_str_c,pro_str_a,tob_con_num,cgov_con_g,env_str_num,div_str_c,cgov_con_x
2004,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%
2005,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%
2006,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%
2007,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%
2008,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%
2009,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,100.00%,100.00%
2010,0.00%,0.00%,0.00%,34.27%,100.00%,99.96%,95.19%,100.00%,0.00%,0.00%,2.09%,99.87%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,34.27%,29.46%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,77.61%,34.27%,100.00%,0.00%,0.00%,0.00%,0.00%,99.32%,0.00%,0.00%,0.00%,0.00%,96.81%,0.00%,0.00%,0.00%,100.00%,98.64%,34.27%,0.00%,0.00%,34.27%,10.86%,0.00%,0.00%,0.00%,99.57%,83.10%,73.44%,0.00%,99.96%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,34.23%,0.00%,100.00%,77.95%,99.49%,99.91%,29.50%,0.00%,0.00%,97.53%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.19%,10.94%,100.00%,0.00%,0.00%,100.00%,0.00%,83.40%,34.18%,100.00%,0.00%,0.00%,0.00%,99.91%,100.00%,100.00%,67.99%,34.23%,0.00%,0.00%,0.00%,0.00%,0.00%,88.68%,0.00%,99.57%,0.00%,99.87%,100.00%,0.00%,0.00%,67.86%,12.52%,0.00%,0.00%,0.00%,0.00%,0.00%,99.57%,0.00%,34.27%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,14.69%,0.00%,75.22%,100.00%,0.00%,100.00%,99.57%,0.00%,0.00%,0.00%,95.19%,0.00%,100.00%,9.28%,10.34%,99.49%,0.00%,100.00%,0.00%,100.00%,14.73%,94.51%,0.00%,0.00%,100.00%,34.27%,99.91%
2011,0.00%,0.00%,0.00%,30.40%,100.00%,100.00%,98.29%,100.00%,0.00%,0.00%,71.58%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,100.00%,30.36%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,80.74%,30.40%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,30.40%,0.00%,0.00%,30.40%,11.10%,0.00%,0.00%,0.00%,100.00%,84.89%,76.68%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,100.00%,30.27%,0.00%,100.00%,77.40%,99.82%,100.00%,30.40%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,2.35%,10.83%,99.95%,0.00%,0.00%,100.00%,0.00%,85.39%,30.22%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,70.00%,30.27%,0.00%,0.00%,0.00%,0.00%,0.00%,21.52%,0.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,12.31%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,0.00%,30.40%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,13.31%,0.00%,77.18%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,99.95%,0.00%,100.00%,9.47%,10.51%,99.82%,0.00%,100.00%,0.00%,100.00%,13.22%,99.59%,0.00%,0.00%,100.00%,30.40%,100.00%
2012,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,19.18%,100.00%,0.00%,0.00%,14.46%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,87.23%,0.00%,100.00%,0.00%,17.35%,88.92%,44.58%,100.00%,0.00%,0.00%,87.23%,0.00%,21.42%,0.00%,0.00%,0.00%,100.00%,18.76%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,43.71%,0.00%,100.00%,100.00%,100.00%,87.87%,100.00%,8.10%,0.00%,100.00%,26.59%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,91.72%,87.19%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,8.33%,44.58%,100.00%,20.23%,0.00%,100.00%,0.00%,24.44%,0.00%,100.00%,0.00%,0.00%,0.00%,100.00%,100.00%,100.00%,100.00%,26.04%,0.00%,0.00%,100.00%,0.00%,100.00%,10.43%,0.00%,77.07%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,20.78%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,0.00%,3.39%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,0.00%,24.85%,0.00%,100.00%,16.29%,32.68%,0.00%,97.21%,100.00%,0.00%,100.00%,1.69%,68.38%,0.00%,0.00%,100.00%,86.68%,100.00%
2013,0.00%,0.00%,0.00%,0.00%,100.00%,100.00%,0.00%,100.00%,0.00%,0.00%,10.70%,100.00%,0.00%,100.00%,100.00%,0.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,92.26%,0.00%,100.00%,7.82%,11.41%,88.59%,33.20%,100.00%,3.01%,90.63%,97.75%,5.22%,0.00%,0.00%,0.00%,1.95%,100.00%,8.66%,0.00%,100.00%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,0.00%,100.00%,86.65%,14.85%,0.00%,0.00%,100.00%,29.31%,0.00%,100.00%,100.00%,100.00%,87.36%,100.00%,11.14%,7.87%,100.00%,52.17%,0.00%,100.00%,100.00%,0.13%,11.98%,0.00%,5.88%,0.00%,88.06%,75.29%,100.00%,0.00%,10.26%,0.00%,0.00%,0.00%,11.10%,86.69%,100.00%,28.25%,0.00%,100.00%,0.00%,6.90%,0.00%,100.00%,0.00%,25.82%,0.00%,100.00%,100.00%,100.00%,100.00%,27.81%,0.00%,100.00%,100.00%,2.92%,100.00%,0.00%,8.66%,60.88%,6.28%,100.00%,100.00%,0.00%,0.00%,0.00%,100.00%,2.25%,0.00%,0.00%,0.00%,2.96%,43.15%,0.00%,100.00%,0.00%,0.00%,0.00%,0.00%,100.00%,86.65%,0.00%,0.00%,11.58%,0.00%,100.00%,100.00%,100.00%,0.00%,100.00%,100.00%,0.00%,100.00%,86.65%,0.00%,15.52%,0.00%,15.16%,0.00%,100.00%,27.81%,33.20%,0.00%,36.96%,100.00%,0.00%,100.00%,1.95%,28.07%,0.00%,0.00%,100.00%,86.65%,100.00%
